MMVM# sh sfm link | beg SFM8 | until SFM12
sfmUnifiedOperationalDataHandler - SHOW SFM LINKS command
SFM Links (SFM8):
 Link  | CRC Error  | Size Error | Code Group Error | Misalign | No Signal Lock | No signal accept | Errored tokens | Errored tokens count
  88    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  89    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  90    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  91    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  92    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  93    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  94    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  95    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  96    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  97    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  98    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  99    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  100    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  101    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  102    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  103    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  104    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  105    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  106    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  107    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  108    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  109    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  110    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  111    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  112    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  113    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  114    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  115    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  116    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  117    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  118    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  119    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  120    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  121    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  122    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  123    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  124    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  125    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  126    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  127    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  128    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  129    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  130    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  131    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  132    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  133    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  134    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  135    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  136    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  137    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  138    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  139    |    -      |         -        |   -      |      -         |        -           |      -         |    -                |  63
  140    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  141    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  142    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
  143    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***              |  0
